__v,_id,active,altNames,createdAt,growthRate24,growthRate48,growthRate72,last24hours,last48hours,metadata.name,metadata.symbol,previousWeek,score,strictNameCheck,thisWeek,week
0,609adacd9337756c0f686000,true,[],2021-05-11T19:28:13.916Z,0,0,0,0,0,CymaBay Therapeutics Inc. Common Stock,CBAY,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adacd9337756c0f686001,true,[],2021-05-11T19:28:13.943Z,0,0,0,0,0,CB Financial Services Inc. Common Stock,CBFV,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adacd9337756c0f686002,true,[],2021-05-11T19:28:13.974Z,0,0,0,0,0,Catalyst Biosciences Inc. Common Stock,CBIO,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adace9337756c0f686003,true,[],2021-05-11T19:28:14.008Z,0,0,0,0,0,Cleveland BioLabs Inc. Common Stock,CBLI,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adace9337756c0f686004,true,[],2021-05-11T19:28:14.037Z,0,0,0,0,0,CBM Bancorp Inc. Common Stock,CBMB,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adace9337756c0f686005,true,[],2021-05-11T19:28:14.079Z,0,0,0,0,0,Capital Bancorp Inc. Common Stock,CBNK,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adace9337756c0f686006,true,[],2021-05-11T19:28:14.146Z,0,0,0,0,0,Cracker Barrel Old Country Store Inc Common Stock,CBRL,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adace9337756c0f686007,true,[],2021-05-11T19:28:14.813Z,0,0,0,0,0,Commerce Bancshares Inc. Common Stock,CBSH,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adace9337756c0f686008,true,[],2021-05-11T19:28:14.864Z,0,0,0,0,0,CBTX Inc. Common Stock,CBTX,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adace9337756c0f686009,true,[],2021-05-11T19:28:14.897Z,0,0,0,0,0,Crescent Capital BDC Inc. Common stock,CCAP,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adace9337756c0f68600a,true,[],2021-05-11T19:28:14.938Z,0,0,0,0,0,Coastal Financial Corporation Common Stock,CCB,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adace9337756c0f68600b,true,[],2021-05-11T19:28:14.981Z,0,0,0,0,0,Capital City Bank Group Common Stock,CCBG,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adacf9337756c0f68600c,true,[],2021-05-11T19:28:15.006Z,0,0,0,0,0,C4 Therapeutics Inc. Common Stock,CCCC,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adacf9337756c0f68600d,true,[],2021-05-11T19:28:15.042Z,300,300,300,3,3,Calamos Dynamic Convertible & Income Fund Common Stock,CCD,0,73.86206896551724,false,3,"[3,0,0,0,0,0,0]"
0,609adacf9337756c0f68600e,true,[],2021-05-11T19:28:15.084Z,0,0,0,0,0,CSI Compressco LP Common Units,CCLP,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adacf9337756c0f68600f,true,[],2021-05-11T19:28:15.122Z,0,0,0,0,0,CMC Materials Inc. Common Stock,CCMP,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adacf9337756c0f686010,true,[],2021-05-11T19:28:15.801Z,0,0,0,0,0,Code Chain New Continent Limited Common Stock,CCNC,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adacf9337756c0f686011,true,[],2021-05-11T19:28:15.851Z,0,0,0,0,0,CNB Financial Corporation Common Stock,CCNE,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adacf9337756c0f686012,true,[],2021-05-11T19:28:15.884Z,0,0,0,0,0,CNB Financial Corporation Depositary Shares each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock,CCNEP,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adacf9337756c0f686013,true,[],2021-05-11T19:28:15.914Z,0,0,0,0,0,Cogent Communications Holdings Inc.,CCOI,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adacf9337756c0f686014,true,[],2021-05-11T19:28:15.940Z,0,0,0,0,0,China Customer Relations Centers Inc. Ordinary Shares,CCRC,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adacf9337756c0f686015,true,[],2021-05-11T19:28:15.976Z,0,0,0,0,0,Cross Country Healthcare Inc. Common Stock $0.0001 Par Value,CCRN,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad09337756c0f686016,true,[],2021-05-11T19:28:16.000Z,300,300,300,3,3,ChemoCentryx Inc. Common Stock,CCXI,0,73.86206896551724,false,3,"[3,0,0,0,0,0,0]"
0,609adad09337756c0f686017,true,[],2021-05-11T19:28:16.027Z,400,400,400,4,4,Chindata Group Holdings Limited American Depositary Shares,CD,0,98.48275862068965,false,4,"[4,0,0,0,0,0,0]"
0,609adad09337756c0f686018,true,[],2021-05-11T19:28:16.071Z,0,0,0,0,0,Codiak BioSciences Inc. Common Stock,CDAK,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad09337756c0f686019,true,[],2021-05-11T19:28:16.819Z,0,0,0,0,0,Centennial Resource Development Inc. Class A Common Stock,CDEV,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad09337756c0f68601a,true,[],2021-05-11T19:28:16.848Z,0,0,0,0,0,CDK Global Inc. Common Stock,CDK,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad09337756c0f68601b,true,[],2021-05-11T19:28:16.879Z,0,0,0,0,0,Cardlytics Inc. Common Stock,CDLX,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad09337756c0f68601c,true,[],2021-05-11T19:28:16.939Z,0,0,0,0,0,Avid Bioservices Inc. Common Stock,CDMO,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad09337756c0f68601d,true,[],2021-05-11T19:28:16.977Z,0,0,0,0,0,CareDx Inc. Common Stock,CDNA,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad19337756c0f68601e,true,[],2021-05-11T19:28:17.004Z,0,0,0,0,0,Cadence Design Systems Inc. Common Stock,CDNS,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad19337756c0f68601f,true,[],2021-05-11T19:28:17.034Z,0,0,0,0,0,Cidara Therapeutics Inc. Common Stock,CDTX,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad19337756c0f686020,true,[],2021-05-11T19:28:17.063Z,0,0,0,0,0,CDW Corporation Common Stock,CDW,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad19337756c0f686021,true,[],2021-05-11T19:28:17.814Z,0,0,0,0,0,ChromaDex Corporation Common Stock,CDXC,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad19337756c0f686022,true,[],2021-05-11T19:28:17.852Z,0,0,0,0,0,Codexis Inc. Common Stock,CDXS,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad19337756c0f686023,true,[],2021-05-11T19:28:17.885Z,0,0,0,0,0,CADIZ Inc. Common Stock,CDZI,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad19337756c0f686024,true,[],2021-05-11T19:28:17.913Z,0,0,0,0,0,CECO Environmental Corp. Common Stock,CECE,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad19337756c0f686025,true,[],2021-05-11T19:28:17.955Z,0,0,0,0,0,Celcuity Inc. Common Stock,CELC,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad29337756c0f686026,true,[],2021-05-11T19:28:18.010Z,0,0,0,0,0,Celsius Holdings Inc. Common Stock,CELH,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad29337756c0f686027,true,[],2021-05-11T19:28:18.043Z,0,0,0,0,0,Chembio Diagnostics Inc. Common Stock,CEMI,0,0,false,0,"[0,0,0,0,0,0,0]"
